sepallength,sepalwidth,petallength,petalwidth,species
5,4,1,0,setosa
5,3,1,0,setosa
5,3,1,0,setosa
5,3,2,0,setosa
5,4,1,0,setosa
5,4,2,0,setosa
5,3,1,0,setosa
5,3,2,0,setosa
4,3,1,0,setosa
5,3,2,0,setosa
5,4,2,0,setosa
5,3,2,0,setosa
5,3,1,0,setosa
4,3,1,0,setosa
6,4,1,0,setosa
6,4,2,0,setosa
5,4,1,0,setosa
5,4,1,0,setosa
6,4,2,0,setosa
5,4,2,0,setosa
5,3,2,0,setosa
5,4,2,0,setosa
5,4,1,0,setosa
5,3,2,1,setosa
5,3,2,0,setosa
5,3,2,0,setosa
5,3,2,0,setosa
5,4,2,0,setosa
5,3,1,0,setosa
5,3,2,0,setosa
5,3,2,0,setosa
5,3,2,0,setosa
5,4,2,0,setosa
6,4,1,0,setosa
5,3,2,0,setosa
5,3,1,0,setosa
6,4,1,0,setosa
5,4,1,0,setosa
4,3,1,0,setosa
5,3,2,0,setosa
5,4,1,0,setosa
5,2,1,0,setosa
4,3,1,0,setosa
5,4,2,1,setosa
5,4,2,0,setosa
5,3,1,0,setosa
5,4,2,0,setosa
5,3,1,0,setosa
5,4,2,0,setosa
5,3,1,0,setosa
7,3,5,1,versicolor
6,3,5,2,versicolor
7,3,5,2,versicolor
6,2,4,1,versicolor
7,3,5,2,versicolor
6,3,5,1,versicolor
6,3,5,2,versicolor
5,2,3,1,versicolor
7,3,5,1,versicolor
5,3,4,1,versicolor
5,2,4,1,versicolor
6,3,4,2,versicolor
6,2,4,1,versicolor
6,3,5,1,versicolor
6,3,4,1,versicolor
7,3,4,1,versicolor
6,3,5,2,versicolor
6,3,4,1,versicolor
6,2,5,2,versicolor
6,3,4,1,versicolor
6,3,5,2,versicolor
6,3,4,1,versicolor
6,3,5,2,versicolor
6,3,5,1,versicolor
6,3,4,1,versicolor
7,3,4,1,versicolor
7,3,5,1,versicolor
7,3,5,2,versicolor
6,3,5,2,versicolor
6,3,4,1,versicolor
6,2,4,1,versicolor
6,2,4,1,versicolor
6,3,4,1,versicolor
6,3,5,2,versicolor
5,3,5,2,versicolor
6,3,5,2,versicolor
7,3,5,2,versicolor
6,2,4,1,versicolor
6,3,4,1,versicolor
6,3,4,1,versicolor
6,3,4,1,versicolor
6,3,5,1,versicolor
6,3,4,1,versicolor
5,2,3,1,versicolor
6,3,4,1,versicolor
6,3,4,1,versicolor
6,3,4,1,versicolor
6,3,4,1,versicolor
5,3,3,1,versicolor
6,3,4,1,versicolor
6,3,6,3,virginica
6,3,5,2,virginica
7,3,6,2,virginica
6,3,6,2,virginica
7,3,6,2,virginica
8,3,7,2,virginica
5,3,5,2,virginica
7,3,6,2,virginica
7,3,6,2,virginica
7,4,6,3,virginica
7,3,5,2,virginica
6,3,5,2,virginica
7,3,6,2,virginica
6,3,5,2,virginica
6,3,5,2,virginica
6,3,5,2,virginica
7,3,6,2,virginica
8,4,7,2,virginica
8,3,7,2,virginica
6,2,5,2,virginica
7,3,6,2,virginica
6,3,5,2,virginica
8,3,7,2,virginica
6,3,5,2,virginica
7,3,6,2,virginica
7,3,6,2,virginica
6,3,5,2,virginica
6,3,5,2,virginica
6,3,6,2,virginica
7,3,6,2,virginica
7,3,6,2,virginica
8,4,6,2,virginica
6,3,6,2,virginica
6,3,5,2,virginica
6,3,6,1,virginica
8,3,6,2,virginica
6,3,6,2,virginica
6,3,6,2,virginica
6,3,5,2,virginica
7,3,5,2,virginica
7,3,6,2,virginica
7,3,5,2,virginica
6,3,5,2,virginica
7,3,6,2,virginica
7,3,6,3,virginica
7,3,5,2,virginica
6,3,5,2,virginica
7,3,5,2,virginica
6,3,5,2,virginica
6,3,5,2,virginica
