Movie,Type,Rating,Year,Domestic,Worldwide,Director
'Crocodile' Dundee II,Comedy,PG,1988,109.30,239.60,J. Cornell
101 Dalmatians,Family,G,1996,135.50,304.90,S. Herek
8 Mile,Drama,R,2002,116.70,229.70,C. Hanson
A Beautiful Mind,Drama,PG-13,2001,170.70,312.10,R. Howard
A Bug's Life,Family,G,1998,162.80,358.00,J. Lasseter/A. Stanton
A Few Good Men,Drama,R,1992,141.30,237.30,R. Reiner
A League of Their Own,Comedy,PG,1992,107.40,130.50,P. Marshall
A Time to Kill,Mystery-Suspense,R,1996,108.30,152.30,J. Schumacher
Ace Ventura: When Nature Calls,Comedy,PG-13,1995,108.40,212.30,S. Oedekerk
Air Force One,Mystery-Suspense,R,1997,173.00,315.10,W. Petersen
Airport,Action,G,1970,100.50,100.50,G. Seaton
Aladdin,Family,G,1992,217.40,502.40,R. Clements/J. Musker
American Beauty,Drama,R,1999,130.10,348.10,S. Mendes
American Graffiti,Drama,PG,1973,115.00,115.00,G. Lucas
American Pie,Comedy,R,1999,101.70,201.80,P. Weitz
American Pie 2,Comedy,R,2001,145.10,285.40,J. B. Rogers
An Officer and a Gentleman,Drama,R,1982,129.80,129.80,T. Hackford
Analyze This,Comedy,R,1999,106.70,176.90,H. Ramis
Anger Management,Comedy,PG-13,2003,132.80,149.40,P. Segal
Apollo 13,Drama,PG,1995,172.10,334.10,R. Howard
Armageddon,Action,PG-13,1998,201.60,554.60,M. Bay
As Good As It Gets,Comedy,PG-13,1997,148.50,313.40,J. L. Brooks
Austin Powers in Goldmember,Comedy,PG-13,2002,213.10,287.90,J. Roach
Austin Powers: The Spy Who Shagged Me,Comedy,PG-13,1999,206.00,310.30,M. Roach
Back to the Future,Comedy,PG,1985,210.60,350.60,R. Zemeckis
Back to the Future Part II,Comedy,PG,1989,118.50,332.00,R. Zemeckis
Bambi,Family,G,1942,102.80,268.00,J. Algar/S. Armstrong
Basic Instinct,Mystery-Suspense,R,1992,117.70,352.70,P. Verhoeven
Batman,Action,PG-13,1989,251.20,413.00,T. Burton
Batman & Robin,Action,PG-13,1997,107.30,237.30,J. Schumacher
Batman Forever,Action,PG-13,1995,184.00,335.00,J. Schumacher
Batman Returns,Action,PG-13,1992,162.80,282.80,T. Burton
Beauty and the Beast,Family,G,1991,171.00,378.00,G. Trousdale/K. Wise
Beverly Hills Cop,Comedy,R,1984,234.80,316.40,M. Brest
Beverly Hills Cop 2,Comedy,R,1987,153.70,300.00,T. Scott
Big,Comedy,PG,1988,115.00,115.00,P. Marshall
Big Daddy,Comedy,PG-13,1999,163.50,233.60,D. Dugan
Big Momma's House,Comedy,PG-13,2000,117.60,169.70,R. Gosnell
Black Hawk Down,Drama,R,2001,108.60,153.60,R. Scott
Blazing Saddles,Comedy,R,1974,119.50,119.50,M. Brooks
Bringing Down the House,Comedy,PG-13,2003,130.40,130.40,A. Shankman
Bruce Almighty,Comedy,PG-13,2003,137.40,137.40,T. Shadyac
Butch Cassidy and the Sundance Kid,Action,PG,1969,102.30,102.30,G. Roy Hill
Casper,Family,PG,1995,100.30,282.30,B. Silberling
Cast Away,Drama,PG-13,2000,233.60,424.30,R. Zemeckis
Catch Me If You Can,Mystery-Suspense,PG-13,2002,164.40,335.80,S. Spielberg
Charlie's Angels,Action,PG-13,2000,125.30,258.50,McG
Chicago,Drama,PG-13,2002,168.60,286.50,R. Marshall
Chicken Run,Family,G,2000,106.60,172.00,P. Lord/N. Park
City Slickers,Comedy,PG-13,1991,123.80,179.00,R. Underwood
Clear and Present Danger,Mystery-Suspense,PG-13,1994,122.00,207.50,P. Noyce
Close Encounters of the Third Kind,Drama,PG,1977,128.30,300.00,S. Spielberg
Coming to America,Comedy,R,1988,128.20,288.80,J. Landis
Con Air,Action,R,1997,101.10,223.20,S. West
Contact,Drama,PG,1997,100.90,165.90,R. Zemeckis
Crocodile Dundee,Comedy,PG-13,1986,174.80,328.20,P. Faiman
"Crouching Tiger, Hidden Dragon",Action,PG-13,2000,128.00,209.10,A. Lee
Dances With Wolves,Drama,PG-13,1990,184.20,424.20,K. Costner
Daredevil,Action,PG-13,2003,102.30,173.50,M. Steven Johnson
Deep Impact,Action,PG-13,1998,140.40,348.80,M. Leder
Dick Tracy,Drama,PG,1990,103.70,162.70,W. Beatty
Die Another Day,Mystery-Suspense,PG-13,2002,160.20,424.70,L. Tamahori
Die Hard 2,Action,R,1990,117.30,237.70,R. Harlin
Die Hard: With a Vengeance,Action,R,1995,100.00,365.00,J. McTiernan
Dinosaur,Action,PG,2000,137.70,347.80,E. Leghton/R. Zondag
Doctor Zhivago,Drama,PG-13,1965,111.70,111.70,D. Lean
Double Jeopardy,Mystery-Suspense,R,1999,116.70,177.80,B. Beresford
Dr. Dolittle,Family,PG-13,1998,144.20,293.40,B. Thomas
Dr. Dolittle 2,Family,PG,2001,113.00,175.00,S. Carr
Dr. Seuss' How the Grinch Stole Christmas,Family,PG,2000,260.00,340.00,R. Howard
Driving Miss Daisy,Drama,PG,1989,106.60,145.80,B. Beresford
Dumb & Dumber,Comedy,PG-13,1994,125.50,244.40,P. Farrelly
E.T.,Family,PG,1982,434.90,757.00,S. Spielberg
Enemy of the State,Mystery-Suspense,R,1998,111.50,245.10,T. Scott
Eraser,Action,R,1996,100.60,235.00,C. Russell
Erin Brockovich,Comedy,R,2000,125.50,256.60,S. Soderbergh
Every Which Way But Loose,Comedy,PG,1978,105.90,105.90,J. Fargo
Face/Off,Action,R,1997,112.70,241.30,J. Woo
Fatal Attraction,Mystery-Suspense,R,1987,156.60,320.10,A. Lyne
Forrest Gump,Drama,PG-13,1994,329.70,680.00,R. Zemeckis
George of the Jungle,Family,PG,1997,105.30,174.30,S. Weisman
Ghost,Drama,PG-13,1990,217.60,517.60,J. Zucker
Ghostbusters,Comedy,PG,1984,238.60,291.60,I. Reitman
Ghostbusters II,Comedy,PG,1989,112.50,215.50,I. Reitman
Gladiator,Drama,R,2000,187.70,456.30,R. Scott
Godzilla,Action,PG-13,1998,136.10,376.00,R. Emmerich
GoldenEye,Mystery-Suspense,PG-13,1995,106.60,351.30,M. Campbell
Gone With the Wind,Drama,G,1939,198.70,390.50,V. Fleming
Gone in Sixty Seconds,Action,PG-13,2000,101.60,230.50,D. Sena
